City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mareeba,-17.0,145.4333,26.4,92,75,1.49,AU,1706555653
1,ghat,24.9647,10.1728,15.11,41,4,3.39,LY,1706555653
2,ushuaia,-54.8,-68.3,13.79,50,0,10.8,AR,1706555385
3,qacha's nek,-30.1154,28.6894,17.43,62,45,1.73,LS,1706555654
4,machico,32.7,-16.7667,20.0,87,20,1.03,PT,1706555654
5,puerto ayora,-0.7393,-90.3518,31.98,75,100,4.92,EC,1706555654
6,colonia,50.9333,6.95,10.79,77,0,4.12,DE,1706555595
7,bairnsdale,-37.8333,147.6167,14.51,95,8,0.58,AU,1706555654
8,albany,42.6001,-73.9662,1.76,80,100,3.11,US,1706555647
9,adamstown,-25.066,-130.1015,24.55,76,100,4.59,PN,1706555654
10,lebu,-37.6167,-73.65,18.38,60,24,5.47,CL,1706555654
11,namibe,-15.1961,12.1522,23.58,74,13,7.05,AO,1706555655
12,grytviken,-54.2811,-36.5092,8.73,60,95,4.27,GS,1706555655
13,ilulissat,69.2167,-51.1,-21.99,71,75,2.06,GL,1706555655
14,edinburgh of the seven seas,-37.0676,-12.3116,16.84,75,40,9.91,SH,1706555653
15,bilibino,68.0546,166.4372,-33.97,98,100,0.59,RU,1706555655
16,port-aux-francais,-49.35,70.2167,3.71,72,99,16.49,TF,1706555655
17,lihue,21.9789,-159.3672,23.77,85,40,7.2,US,1706555617
18,visakhapatnam,17.69,83.2093,20.94,100,40,1.03,IN,1706555655
19,chonchi,-42.6128,-73.8092,20.56,42,97,1.33,CL,1706555656
20,waitangi,-43.9535,-176.5597,17.12,98,37,2.24,NZ,1706555656
21,weno,7.4515,151.8468,25.97,89,100,3.09,FM,1706555656
22,puerto lempira,15.2667,-83.7667,32.08,66,40,4.12,HN,1706555656
23,puerto natales,-51.7236,-72.4875,18.25,52,40,7.72,CL,1706555656
24,kailua-kona,19.6406,-155.9956,26.95,82,40,7.2,US,1706555562
25,atafu village,-8.5421,-172.5159,29.18,70,88,2.5,TK,1706555657
26,tadine,-21.55,167.8833,24.5,75,100,3.28,NC,1706555657
27,bay harbor,30.1471,-85.6146,17.18,50,0,3.6,US,1706555657
28,ust-nera,64.5667,143.2,-38.07,97,99,1.84,RU,1706555657
29,anadyr,64.75,177.4833,-33.72,75,75,3.0,RU,1706555657
30,college,64.8569,-147.8028,-24.33,57,100,2.06,US,1706555633
31,dorado,18.4588,-66.2677,31.77,63,75,4.63,PR,1706555657
32,dajal,29.5577,70.3762,15.65,39,100,2.85,PK,1706555658
33,muynoq,43.7683,59.0214,0.12,96,100,3.79,UZ,1706555658
34,shiguai,40.7058,110.2856,-10.21,82,100,1.93,CN,1706555658
35,stanley,54.868,-1.6985,5.71,95,75,5.14,GB,1706555658
36,meget,52.415,104.0494,-32.36,100,12,1.0,RU,1706555658
37,priargunsk,50.3691,119.1012,-36.51,100,100,0.92,RU,1706555658
38,opuwo,-18.0607,13.84,27.48,37,62,1.97,NA,1706555658
39,pangody,65.85,74.4859,-20.45,98,40,3.99,RU,1706555659
40,port mathurin,-19.6833,63.4167,27.84,81,99,9.21,MU,1706555642
41,avarua,-21.2078,-159.775,26.03,100,75,3.6,CK,1706555659
42,tlahualilo de zaragoza,26.1167,-103.45,17.68,36,100,2.31,MX,1706555659
43,sompeta,18.9333,84.6,20.67,73,32,1.98,IN,1706555659
44,klyuchi,52.2667,79.1667,-18.17,97,75,2.87,RU,1706555659
45,yuzhno-kurilsk,44.0306,145.8556,-2.57,83,67,2.27,RU,1706555659
46,port alfred,-33.5906,26.891,26.12,78,56,3.69,ZA,1706555660
47,laguna,38.421,-121.4238,22.27,71,0,1.54,US,1706555660
48,horta,38.5333,-28.6333,16.8,90,40,8.75,PT,1706555660
49,ulladulla,-35.35,150.4667,19.87,87,44,3.96,AU,1706555660
50,rio grande,-32.035,-52.0986,26.06,72,60,5.24,BR,1706555040
51,bethel,41.3712,-73.414,2.9,75,100,5.14,US,1706555660
52,goldap,54.3063,22.3036,1.05,75,73,5.3,PL,1706555660
53,tazovsky,67.4667,78.7,-21.37,90,80,4.37,RU,1706555660
54,sandnessjoen,66.0217,12.6316,5.29,87,75,6.69,NO,1706555661
55,nova sintra,14.8667,-24.7167,21.4,66,49,8.25,CV,1706555661
56,yellowknife,62.456,-114.3525,-2.55,100,100,8.75,CA,1706555661
57,enewetak,11.3474,162.3373,25.43,62,67,2.44,MH,1706555661
58,la junta,37.985,-103.5438,13.92,37,0,0.0,US,1706555661
59,pandan,14.0453,124.1694,24.61,78,100,7.14,PH,1706555661
60,hamilton,39.1834,-84.5333,3.18,80,100,3.09,US,1706555318
61,margaret river,-33.95,115.0667,11.7,89,4,4.47,AU,1706555436
62,port elizabeth,-33.918,25.5701,22.83,89,20,13.89,ZA,1706555608
63,jamestown,42.097,-79.2353,0.86,96,100,4.63,US,1706555644
64,natal,-5.795,-35.2094,30.36,70,40,5.66,BR,1706555662
65,qianzhou,28.3167,109.7167,6.55,89,100,0.49,CN,1706555662
66,blackmans bay,-43.0167,147.3167,9.18,82,1,0.45,AU,1706555662
67,hawaiian paradise park,19.5933,-154.9731,28.28,72,0,1.54,US,1706555652
68,sivrihisar,39.4504,31.5341,-1.86,65,100,5.02,TR,1706555662
69,acajutla,13.5928,-89.8275,33.12,43,0,6.09,SV,1706555662
70,thompson,55.7435,-97.8558,-4.91,86,100,4.63,CA,1706555663
71,leh,34.1667,77.5833,-7.8,57,2,2.38,IN,1706555663
72,qaqortoq,60.7167,-46.0333,-22.82,77,10,2.0,GL,1706555663
73,yarmouth,41.7057,-70.2286,2.26,92,100,12.96,US,1706555663
74,west island,-12.1568,96.8225,24.99,78,24,2.57,CC,1706555663
75,hilo,19.7297,-155.09,28.4,58,0,1.54,US,1706555562
76,medicine hat,50.0501,-110.6683,11.23,68,75,6.69,CA,1706555640
77,hadibu,12.65,54.0333,23.94,71,79,3.63,YE,1706555664
78,lompoc,34.6391,-120.4579,25.01,42,0,3.09,US,1706555664
79,temryuk,45.2722,37.3811,-2.88,74,81,8.53,RU,1706555541
80,udachny,66.4167,112.4,-21.42,76,100,1.05,RU,1706555664
81,virginia beach,36.8529,-75.978,9.45,72,100,7.2,US,1706555017
82,ribeira grande,38.5167,-28.7,17.22,88,40,8.75,PT,1706555659
83,vila velha,-20.3297,-40.2925,30.97,80,20,9.26,BR,1706555664
84,kingston,17.997,-76.7936,30.13,70,0,2.24,JM,1706555582
85,talara,-4.5772,-81.2719,31.42,58,0,8.23,PE,1706555665
86,santiago del estero,-27.7951,-64.2615,38.91,18,0,3.14,AR,1706555665
87,rongelap,11.1635,166.8941,26.33,75,97,5.43,MH,1706555665
88,longyearbyen,78.2186,15.6401,-3.09,86,75,8.23,SJ,1706555661
89,merizo village,13.2658,144.6691,24.99,87,6,7.94,GU,1706555665
90,luderitz,-26.6481,15.1594,18.37,77,99,3.6,NA,1706555665
91,kone,-21.0595,164.8658,23.66,86,75,0.37,NC,1706555665
92,da nang,16.0678,108.2208,19.99,88,40,1.03,VN,1706555666
93,aliaga,15.5167,120.8667,22.72,86,94,1.06,PH,1706555666
94,olonkinbyen,70.9221,-8.7187,-5.66,58,100,5.64,SJ,1706555666
95,freeland,43.525,-84.1228,2.06,83,100,4.63,US,1706555407
96,tofol,5.3248,163.0078,27.51,71,100,5.39,FM,1706555653
97,tolanaro,-25.0319,46.9987,23.33,83,100,4.93,MG,1706555666
98,northam,51.0333,-4.2167,13.14,91,100,7.41,GB,1706555666
99,santa luzia,-19.7697,-43.8514,30.5,51,40,4.12,BR,1706555667
100,chegdomyn,51.1167,133.0167,-22.04,100,100,0.99,RU,1706555667
101,el sauzal de rodriguez,31.9,-116.6833,18.01,65,9,0.16,MX,1706555667
102,whitehorse,60.7161,-135.0538,4.43,81,75,10.8,CA,1706555667
103,gamay,12.3854,125.2979,24.46,88,100,5.73,PH,1706555667
104,puerto baquerizo moreno,-0.9,-89.6,29.55,74,20,8.23,EC,1706555667
105,carutapera,-1.195,-46.02,29.98,67,89,4.53,BR,1706555667
106,port blair,11.6667,92.75,24.02,94,40,0.51,IN,1706555668
107,holualoa,19.6228,-155.9522,24.88,82,40,7.2,US,1706555668
108,tsiombe,-25.3,45.4833,22.78,80,16,7.11,MG,1706555668
109,bredasdorp,-34.5322,20.0403,24.49,46,32,7.91,ZA,1706555616
110,al jadid,27.05,14.4,11.57,55,2,4.6,LY,1706555668
111,geraldton,-28.7667,114.6,20.23,73,0,5.14,AU,1706555668
112,soe,-9.8607,124.284,19.18,94,100,1.38,ID,1706555668
113,tiksi,71.6872,128.8694,-25.97,98,94,3.05,RU,1706555644
114,san patricio,28.017,-97.5169,21.97,41,47,1.5,US,1706555627
115,varkaus,62.3153,27.873,-0.39,84,100,4.95,FI,1706555669
116,hanceville,34.0607,-86.7675,11.92,55,5,3.36,US,1706555669
117,margate,51.3813,1.3862,11.04,85,100,4.92,GB,1706555669
118,flying fish cove,-10.4217,105.6791,24.82,94,75,1.03,CX,1706555669
119,touros,-5.1989,-35.4608,28.99,68,15,6.62,BR,1706555567
120,tekman,39.6436,41.5078,-20.05,99,88,0.94,TR,1706555669
121,macau,22.2006,113.5461,16.89,82,40,3.09,MO,1706555669
122,kavaratti,10.5669,72.642,27.83,64,82,2.48,IN,1706555655
123,invercargill,-46.4,168.35,13.34,91,45,1.34,NZ,1706555655
124,narvik,68.4384,17.4272,1.88,98,100,17.9,NO,1706555670
125,palmer,42.1584,-72.3287,1.8,79,100,7.2,US,1706555670
126,san fernando de apure,7.8878,-67.4724,36.99,29,84,2.43,VE,1706555670
127,dudinka,69.4058,86.1778,-15.18,83,100,8.05,RU,1706555670
128,novi knezevac,46.05,20.1,1.53,75,0,1.72,RS,1706555670
129,cachoeira do sul,-30.0392,-52.8939,28.84,50,55,1.27,BR,1706555671
130,lagoa,39.05,-27.9833,15.99,86,0,10.3,PT,1706555671
131,slave lake,55.2834,-114.769,6.36,76,100,0.73,CA,1706555510
132,crane,31.3974,-102.3501,16.75,33,100,4.33,US,1706555671
133,kudymkar,59.0173,54.656,-20.26,100,90,1.86,RU,1706555671
134,happy valley-goose bay,53.3168,-60.3315,-18.83,38,0,2.06,CA,1706555600
135,aasiaat,68.7098,-52.8699,-27.86,98,100,1.76,GL,1706555671
136,fisterra,42.9049,-9.2629,14.86,81,36,4.44,ES,1706555671
137,harnai,30.1005,67.9374,12.96,41,100,0.5,PK,1706555672
