City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fortuna,40.5982,-124.1573,18.7,56,0,12.86,US,1706663122
1,bredasdorp,-34.5322,20.0403,18.64,95,58,2.22,ZA,1706663122
2,papatowai,-46.5619,169.4708,18.68,58,100,3.27,NZ,1706663122
3,udachny,66.4167,112.4,-27.15,100,98,1.04,RU,1706663122
4,saint-philippe,-21.3585,55.7679,25.77,84,47,3.89,RE,1706662892
5,edinburgh of the seven seas,-37.0676,-12.3116,14.13,58,29,2.13,SH,1706662855
6,nogliki,51.8333,143.1667,-19.81,93,65,3.13,RU,1706663123
7,invercargill,-46.4,168.35,17.23,74,92,7.15,NZ,1706663114
8,grytviken,-54.2811,-36.5092,3.54,81,22,4.74,GS,1706663123
9,qianzhou,28.3167,109.7167,8.22,97,100,0.41,CN,1706663123
10,puerto ayora,-0.7393,-90.3518,25.48,86,90,3.49,EC,1706662869
11,port-aux-francais,-49.35,70.2167,3.88,73,84,14.3,TF,1706663123
12,kodiak,57.79,-152.4072,-10.27,41,0,4.12,US,1706663124
13,wailua homesteads,22.0669,-159.378,23.44,79,75,2.57,US,1706663124
14,adamstown,-25.066,-130.1015,24.89,76,100,12.26,PN,1706663124
15,homer,59.6425,-151.5483,-12.07,80,100,1.54,US,1706663055
16,kemin,42.7846,75.6892,-5.89,81,100,0.22,KG,1706663124
17,petropavlovsk-kamchatsky,53.0452,158.6483,-14.67,51,40,4.0,RU,1706663124
18,kolosovka,56.4678,73.611,-16.84,97,97,3.12,RU,1706663124
19,biloela,-24.4167,150.5,30.54,62,73,4.88,AU,1706663124
20,waitangi,-43.9535,-176.5597,17.68,97,100,2.24,NZ,1706663125
21,as saffaniyah,27.9708,48.73,17.57,70,0,5.05,SA,1706663125
22,parham,17.0968,-61.7705,23.35,73,20,1.03,AG,1706663125
23,comodoro rivadavia,-45.8667,-67.5,24.92,29,0,12.35,AR,1706663125
24,west island,-12.1568,96.8225,27.99,74,41,3.09,CC,1706663125
25,nemuro,43.3236,145.575,-2.24,65,100,2.42,JP,1706663125
26,mount pearl,47.5166,-52.7813,-5.02,82,100,8.23,CA,1706662904
27,lihue,21.9789,-159.3672,23.77,79,75,2.57,US,1706663126
28,callao,-12.0667,-77.15,27.07,73,100,4.12,PE,1706663126
29,kovdor,67.5662,30.4758,-1.54,78,88,8.47,RU,1706663126
30,khandyga,62.6667,135.6,-40.92,100,98,0.7,RU,1706663126
31,ushuaia,-54.8,-68.3,14.79,67,40,5.14,AR,1706662895
32,colonia,50.9333,6.95,8.31,81,100,3.6,DE,1706662826
33,bilibino,68.0546,166.4372,-33.31,98,100,0.44,RU,1706662878
34,georgetown,5.4112,100.3354,27.19,78,20,3.09,MY,1706662835
35,ribeira grande,38.5167,-28.7,14.87,86,83,3.58,PT,1706663127
36,hasaki,35.7333,140.8333,7.94,62,8,4.73,JP,1706663127
37,carnarvon,-24.8667,113.6333,32.31,47,0,5.48,AU,1706663127
38,ebon,4.582,168.6964,27.19,81,100,8.15,MH,1706663127
39,nambucca,-30.6333,152.9833,27.13,70,92,3.57,AU,1706663127
40,hadibu,12.65,54.0333,23.76,77,74,1.82,YE,1706663127
41,kununurra,-15.7667,128.7333,26.99,83,40,2.57,AU,1706663109
42,lebu,-37.6167,-73.65,15.26,80,0,5.77,CL,1706663128
43,enewetak,11.3474,162.3373,26.55,71,100,8.97,MH,1706663128
44,tura,25.5198,90.2201,13.1,53,0,1.32,IN,1706663128
45,buka,40.8108,69.1986,0.4,94,100,2.18,UZ,1706663128
46,nizhniy odes,63.6445,54.856,-4.63,93,100,3.9,RU,1706662940
47,college,64.8569,-147.8028,-25.82,64,75,2.57,US,1706663128
48,hermosillo,29.0667,-110.9667,25.95,42,40,4.63,MX,1706663094
49,albany,42.6001,-73.9662,-0.3,84,100,2.55,US,1706663129
50,tazovsky,67.4667,78.7,-20.96,92,90,6.62,RU,1706663129
51,afaahiti,-17.75,-149.2833,28.92,83,70,4.24,PF,1706663129
52,namibe,-15.1961,12.1522,24.8,78,32,2.38,AO,1706663129
53,nelson,-41.2833,173.2833,24.6,61,0,0.45,NZ,1706663129
54,puerto natales,-51.7236,-72.4875,8.25,85,18,1.57,CL,1706663129
55,codrington,-38.2667,141.9667,19.66,58,0,5.73,AU,1706663130
56,male,4.1748,73.5089,26.97,89,75,4.12,MV,1706662850
57,iqaluit,63.7506,-68.5145,-22.15,71,100,3.09,CA,1706663130
58,vadso,70.0744,29.7487,4.09,65,100,8.75,NO,1706662927
59,paramonga,-10.6667,-77.8333,24.08,81,100,2.94,PE,1706663130
60,porto novo,6.4965,2.6036,28.9,83,29,2.53,BJ,1706663130
61,puerto baquerizo moreno,-0.9,-89.6,25.55,87,88,4.7,EC,1706662956
62,siwa oasis,29.2041,25.5195,10.97,61,77,3.6,EG,1706662907
63,margaret river,-33.95,115.0667,24.9,47,0,2.55,AU,1706663131
64,lakatoro,-16.0999,167.4164,28.83,75,100,2.09,VU,1706663131
65,whitehorse,60.7161,-135.0538,1.43,51,20,6.69,CA,1706663008
66,balykshi,47.0667,51.8667,-3.0,93,100,6.0,KZ,1706663131
67,gonbad-e kavus,37.25,55.1672,4.53,69,88,1.37,IR,1706663131
68,tambovka,50.0969,128.0489,-30.01,100,100,1.79,RU,1706663131
69,stanley,54.868,-1.6985,3.21,87,0,3.6,GB,1706662845
70,grand-bassam,5.2118,-3.7388,28.98,84,6,3.21,CI,1706663132
71,olonkinbyen,70.9221,-8.7187,-3.98,78,100,5.72,SJ,1706663132
72,mujiayingzi,42.1167,118.7833,-14.54,84,82,1.32,CN,1706663132
73,lompoc,34.6391,-120.4579,19.08,87,100,2.57,US,1706663132
74,sidi ifni,29.3797,-10.173,18.86,33,100,3.85,MA,1706663132
75,kingston,17.997,-76.7936,27.53,79,75,2.06,JM,1706662903
76,mandalgovi,45.7625,106.2708,-25.41,84,0,0.56,MN,1706663133
77,aasiaat,68.7098,-52.8699,-30.09,96,56,5.68,GL,1706662914
